,barrio,barrio-href,zona,ciudad,lat,lon
103,El Cardal,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1035&country=El%20Cardal,Buenos Aires - Norte,Cardales,,
104,The Vines Of Mendoza,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=790&country=The%20Vines%20Of%20Mendoza,Prov. Mendoza,San Rafael,-33.107176 , -68.888843
105,El Canal pueblo náuti,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1126&country=El%20Canal%20pueblo%20n%C3%A1utico,Buenos Aires - Norte,San Isidro,,
106,La Estancia de Cafayat,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=583&country=La%20Estancia%20de%20Cafayate,Prov. Salta,Cafayate,-26.069135 , -65.968626
107,Potrerillo de Larreta,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=603&country=Potrerillo%20de%20Larreta,Prov. Cordoba,Alta Gracia,-31.63948 , -64.472963
108,Jardin Claret,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=548&country=Jardin%20Claret,Prov. Cordoba,Córdoba,-31.342335 , -64.223781
109,El Casco,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=629&country=El%20Casco,Prov. Neuquen,San Martin de los Andes,-40.122873 , -71.267461
110,Campiñas del Sur,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=672&country=Campi%C3%B1as%20del%20Sur,Prov. Cordoba,Córdoba,-31.419863 , -64.179091
111,Notre Dame Du Bois,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=631&country=Notre%20Dame%20Du%20Bois,Prov. Neuquen,Villa la Angostura,-40.786601 , -71.608361
112,El Nacional Club de Ca,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=122&country=El%20Nacional%20Club%20de%20Campo,Buenos Aires - Oeste,General Rodriguez,-34.641238 , -58.970983
113,El Bosque,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=845&country=El%20Bosque,Buenos Aires - Norte,Campana,,
114,Fincas del Sur,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=546&country=Fincas%20del%20Sur,Prov. Cordoba,Córdoba,-31.48627 , -64.156871
115,Chapelco Golf y Resort,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=508&country=Chapelco%20Golf%20y%20Resort,Prov. Neuquen,Chapelco,-40.11927 , -71.203385
116,Buena Vista,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=747&country=Buena%20Vista,Prov. Tucuman,Tucuman,-26.800241 , -65.285105
117,Fincas de Iraola,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=198&country=Fincas%20de%20Iraola,Buenos Aires - Sur,Berazategui,-34.824171 , -58.170590
118,Chacras de La Cruz,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=115&country=Chacras%20de%20La%20Cruz,Buenos Aires - Norte,Capilla del Señor,-34.269856 , -59.084523
119,Arboris Las Lomas,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1073&country=Arboris%20Las%20Lomas,Buenos Aires - Norte,San Isidro,-34.476314 , -58.535156
120,Barrancas de Santa Mar,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=277&country=Barrancas%20de%20Santa%20Maria,Buenos Aires - Norte,Pacheco,-34.407371 , -58.704990
121,Cayman Village,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=187&country=Cayman%20Village,Buenos Aires - Sur,La PLata,-35.008273 , -58.068111
122,El Chaja,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=430&country=El%20Chaja,Buenos Aires - Norte,Zarate,-34.151246 , -59.107918
123,Riverside,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=900&country=Riverside,Prov. Cordoba,Río Cuarto,-33.120502 , -64.319922
124,Weston,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=480&country=Weston,Buenos Aires - Oeste,Moreno,-34.587856 , -58.868956
125,San jose,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=395&country=San%20jose,Buenos Aires - Norte,Tigre,-34.455705 , -58.571393
126,Olivos de la quebrada,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=939&country=Olivos%20de%20la%20quebrada,Prov. La Rioja,La Rioja,-29.433769 , -66.883346
127,Los Azahares,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=932&country=Los%20Azahares,Prov. Tucuman,Tucuman,,
128,La Zagala,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=643&country=La%20Zagala,Prov. Neuquen,Neuquén,-38.957588 , -68.090105
129,La Candelaria,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=320&country=La%20Candelaria,Buenos Aires - Norte,San Isidro,-34.385865 , -58.752100
130,La Guadalupe,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=823&country=La%20Guadalupe,Buenos Aires - Oeste,Moreno,,
131,Don Alberto,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=784&country=Don%20Alberto,Buenos Aires - Sur,Canning,-34.987521 , -58.46705
